,ID,MonthlyIncome
1,871,5819.173654
2,872,2509.36519
3,873,12169.44761
4,874,2181.052134
5,875,2471.547464
6,876,6268.624245
7,877,5375.03044
8,878,1863.023622
9,879,2582.452598
10,880,12605.75084
11,881,9706.121851
12,882,2511.266407
13,883,5907.996966
14,884,5571.238484
15,885,6251.745632
16,886,5842.059137
17,887,5979.093977
18,888,6025.045071
19,889,5388.623982
20,890,2730.179801
21,891,5637.680181
22,892,8816.076837
23,893,8731.448946
24,894,5552.174269
25,895,9715.934649
26,896,9038.422711
27,897,8746.110389
28,898,15721.88396
29,899,5935.861878
30,900,2644.739794
31,901,2500.380048
32,902,5809.241244
33,903,6330.670112
34,904,2702.640337
35,905,16256.9278
36,906,5467.65477
37,907,9477.281655
38,908,6073.868931
39,909,2490.534053
40,910,2563.863771
41,911,19064.07874
42,912,2811.703139
43,913,2295.386093
44,914,13353.74595
45,915,5991.455961
46,916,5117.027945
47,917,2604.389623
48,918,5826.834669
49,919,2457.589727
50,920,2854.281018
51,921,2506.069142
52,922,2434.797907
53,923,5519.516414
54,924,5196.634884
55,925,16972.00547
56,926,2452.564779
57,927,5859.377469
58,928,13075.56043
59,929,2020.232972
60,930,2439.648993
61,931,5849.362378
62,932,12856.18731
63,933,8605.086405
64,934,2221.576955
65,935,2209.631243
66,936,2172.7314
67,937,9177.976568
68,938,9162.781777
69,939,5993.414363
70,940,2524.794402
71,941,2934.742054
72,942,9155.506688
73,943,9807.126589
74,944,6020.701575
75,945,2362.039717
76,946,5640.617993
77,947,2528.120473
78,948,2685.230417
79,949,2472.335943
80,950,5653.135004
81,951,2614.246947
82,952,5902.927576
83,953,5791.948719
84,954,2220.971215
85,955,4989.82197
86,956,8272.985817
87,957,10384.74874
88,958,2319.218991
89,959,9447.554792
90,960,19985.42793
91,961,2605.909233
92,962,5656.153858
93,963,6112.008141
94,964,5524.71217
95,965,2610.120449
96,966,19524.36797
97,967,2535.415119
98,968,9127.593613
99,969,16886.26495
100,970,2554.421796
101,971,5856.713785
102,972,6061.354857
103,973,2326.153605
104,974,2499.017106
105,975,5945.470749
106,976,2696.85125
107,977,6512.378327
108,978,2587.123843
109,979,8927.185627
110,980,19454.02173
111,981,2663.501981
112,982,9051.529624
113,983,2623.598683
114,984,2558.641679
115,985,5923.528851
116,986,2421.920268
117,987,2545.070081
118,988,5742.837156
119,989,9263.516989
120,990,2667.244791
121,991,5843.305896
122,992,2587.787683
123,993,5866.044352
124,994,5614.087056
125,995,5161.336143
126,996,5747.731023
127,997,2537.706606
128,998,16837.4116
129,999,8830.947465
130,1000,2175.950129
131,1001,6068.290273
132,1002,5254.083869
133,1003,5582.953114
134,1004,6656.49332
135,1005,2960.816832
136,1006,5863.140807
137,1007,2484.695171
138,1008,6054.7162
139,1009,19368.2794
140,1010,5924.230673
141,1011,9115.206538
142,1012,5805.010165
143,1013,6062.296161
144,1014,5181.927501
145,1015,5550.17105
146,1016,2703.546621
147,1017,2586.663198
148,1018,8709.8254
149,1019,9091.225138
150,1020,2039.833791
151,1021,5877.541133
152,1022,5418.771724
153,1023,5738.64152
154,1024,9728.615849
155,1025,16348.97808
156,1026,18709.30015
157,1027,5604.951156
158,1028,5706.283637
159,1029,5620.855664
160,1030,9366.279084
161,1031,5661.770432
162,1032,2789.244811
163,1033,12667.21479
164,1034,2422.021985
165,1035,4882.900714
166,1036,2544.117742
167,1037,5628.432952
168,1038,9029.001313
169,1039,13059.41939
170,1040,5947.97377
171,1041,2226.780661
172,1042,2922.897739
173,1043,8706.62841
174,1044,6420.376656
175,1045,2440.835328
176,1046,2217.270059
177,1047,6149.17249
178,1048,12862.11094
179,1049,2593.324015
180,1050,5866.593033
181,1051,9891.977114
182,1052,2214.048878
183,1053,6089.59697
184,1054,2771.416967
185,1055,2637.906936
186,1056,2523.86843
187,1057,5962.517488
188,1058,15785.75875
189,1059,6220.344825
190,1060,2757.075688
191,1061,5820.251692
192,1062,6126.456167
193,1063,6284.256287
194,1064,2368.597141
195,1065,5718.799091
196,1066,2514.809047
197,1067,3408.249313
198,1068,19839.47848
199,1069,5482.037594
200,1070,2596.591643
201,1071,2714.689632
202,1072,6127.488791
203,1073,2598.316251
204,1074,5944.027234
205,1075,5823.127092
206,1076,16399.95458
207,1077,19422.60971
208,1078,5358.293371
209,1079,5647.356111
210,1080,5843.050375
211,1081,3105.384602
212,1082,2564.702806
213,1083,2183.366615
214,1084,6191.566201
215,1085,8659.196137
216,1086,8749.973974
217,1087,5808.491371
218,1088,2642.792166
219,1089,2751.368175
220,1090,5749.908995
221,1091,5575.01604
222,1092,5903.539937
223,1093,12608.09105
224,1094,5681.912455
225,1095,5375.295993
226,1096,6048.234712
227,1097,3175.857445
228,1098,2466.79119
229,1099,2477.055767
230,1100,6094.826279
231,1101,19286.77602
232,1102,5736.501822
233,1103,5935.730667
234,1104,9790.723405
235,1105,2702.25038
236,1106,2523.24061
237,1107,2963.722232
238,1108,5532.269631
239,1109,5525.649773
240,1110,5746.688109
241,1111,5599.153485
242,1112,12814.2556
243,1113,13420.09755
244,1114,6116.554701
245,1115,9781.575845
246,1116,2693.454905
247,1117,6685.128986
248,1118,5169.361798
249,1119,9507.129484
250,1120,2553.235818
251,1121,9337.220742
252,1122,16484.94176
253,1123,5776.122292
254,1124,16258.9613
255,1125,2516.239366
256,1126,2085.324594
257,1127,2300.375365
258,1128,5300.894991
259,1129,15823.88227
260,1130,2429.034713
261,1131,12831.41858
262,1132,16679.07397
263,1133,6076.31506
264,1134,1959.78809
265,1135,2596.035288
266,1136,2429.063695
267,1137,2881.307772
268,1138,5744.834914
269,1139,8935.091157
270,1140,16003.5459
271,1141,6231.433245
272,1142,6069.25874
273,1143,9673.255882
274,1144,5650.406965
275,1145,5724.986634
276,1146,5692.846692
277,1147,5319.279189
278,1148,2270.567017
279,1149,2635.980577
280,1150,6164.624779
281,1151,2412.849979
282,1152,5744.251259
283,1153,5892.659511
284,1154,2221.026961
285,1155,6346.593603
286,1156,12146.15364
287,1157,2349.805886
288,1158,5813.041957
289,1159,2678.815844
290,1160,6135.496679
291,1161,2837.983007
292,1162,8853.526795
293,1163,2451.228768
294,1164,8950.874073
295,1165,2395.006781
296,1166,2005.659848
297,1167,9415.264442
298,1168,5778.178748
299,1169,2697.503284
300,1170,2585.358334